record_id	source_url	date_verified	author_claim	source_outlet	claim_text	context	verification_scope	verification	conclusion	domain_claim	verdict_original
1	https://a.ro	01.03.2021	Ion Popescu	Digi24	Vaccinul e periculos	Declaratie politician	Sanatate	Nu exista dovezi stiintifice	Afirmatie falsa	Sanatate	fals
2	https://b.ro	15.06.2022	Maria Ionescu	Pro TV	PIB a crescut cu 5%	Date INS	Economie	INS confirma 4.9% crestere	Aproximativ corect	Economie	parțial adevărat
3	https://c.ro	20.09.2021	Ion Popescu	Antena3	Romania lider UE la inflatie	Conferinta presa	Economie	Eurostat arata altceva	Afirmatie falsa	Economie	fals
4	https://d.ro	10.01.2020	Ana Stancu	Digi24	Spitalele sunt bine finantate	Ministerul Sanatatii	Sanatate	Bugetul e insuficient	Afirmatie falsa	Sanatate	fals
5	https://e.ro	22.04.2022	Maria Ionescu	Pro TV	Guvernul a alocat fonduri	Guvernul Romaniei	Politica	Alocare confirmata	Adevarat	Politica	adevărat
6	https://f.ro	05.07.2023	Gheorghe Dan	Euronews	Imigratie record	Date oficiale	Social	Nu se poate verifica cu date actuale	Neverificabil	Social	imposibil de verificat
7	https://g.ro	18.11.2019	Ion Popescu	Digi24	Scoli construite in termen	Ministerul Educatiei	Educatie	Proiectele intarziate	Trunchiat	Educatie	trunchiat
8	https://h.ro	30.03.2021	Ana Stancu	Antena3	Crestere salariu minim 20%	Guvernul Romaniei	Economie	Createre reala 15%	Partial	Economie	parțial fals
9	https://i.ro	14.08.2022	Maria Ionescu	Pro TV	Somaj la 3%	Date INS	Economie	Date INS confirma	Adevarat	Economie	adevărat
10	https://j.ro	01.12.2020	Gheorghe Dan	Euronews	Pensii vor creste dublu	Guvernul Romaniei	Economie	Nu exista alocare bugetara	Afirmatie falsa	Economie	fals
